Date : 2020-02-19 21:53:57
Directory : c:\Users\bilal\Desktop\BayimSu\crm
Total : 228 files,  33570 codes, 1244 comments, 5428 blanks, all 40242 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| TypeScript React |        105 |     17,057 |        914 |      4,640 |     22,611 |
| JSON             |         13 |     11,327 |          0 |          5 |     11,332 |
| TypeScript       |         66 |      4,015 |        111 |        583 |      4,709 |
| JavaScript       |          9 |        251 |         37 |         13 |        301 |
| XML              |         15 |        183 |          6 |         24 |        213 |
| CSS              |          2 |        166 |          7 |          8 |        181 |
| Groovy           |          3 |        131 |        117 |         31 |        279 |
| HTML             |          2 |        112 |          0 |          3 |        115 |
| Objective-C      |          3 |        100 |         18 |         38 |        156 |
| Java             |          2 |         80 |         15 |         16 |        111 |
| Batch            |          1 |         76 |          0 |         25 |        101 |
| Markdown         |          2 |         36 |          0 |         25 |         61 |
| Log              |          1 |         18 |          0 |          1 |         19 |
| Properties       |          3 |         13 |         13 |         11 |         37 |
| C++              |          1 |          5 |          6 |          5 |         16 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |        228 |     33,570 |      1,244 |      5,428 |     40,242 |
| __tests__                                                                                            |          1 |          7 |          4 |          4 |         15 |
| android                                                                                              |         15 |        408 |        147 |         96 |        651 |
| android\app                                                                                          |          9 |        278 |        125 |         54 |        457 |
| android\app\src                                                                                      |          7 |        139 |         17 |         30 |        186 |
| android\app\src\debug                                                                                |          1 |          6 |          0 |          3 |          9 |
| android\app\src\main                                                                                 |          6 |        133 |         17 |         27 |        177 |
| android\app\src\main\java                                                                            |          2 |         80 |         15 |         16 |        111 |
| android\app\src\main\java\com                                                                        |          2 |         80 |         15 |         16 |        111 |
| android\app\src\main\java\com\bayimsu                                                                |          2 |         80 |         15 |         16 |        111 |
| android\app\src\main\res                                                                             |          3 |         16 |          2 |          4 |         22 |
| android\app\src\main\res\values                                                                      |          2 |         10 |          2 |          4 |         16 |
| android\app\src\main\res\xml                                                                         |          1 |          6 |          0 |          0 |          6 |
| android\assets                                                                                       |          1 |          3 |          0 |          0 |          3 |
| android\gradle                                                                                       |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                               |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                  |          9 |        315 |         24 |         54 |        393 |
| ios\BayimSu                                                                                          |          8 |        264 |         18 |         38 |        320 |
| ios\BayimSuTests                                                                                     |          1 |         51 |          6 |         16 |         73 |
| ios\BayimSu\Base.lproj                                                                               |          1 |         46 |          0 |          1 |         47 |
| ios\BayimSu\Images.xcassets                                                                          |          4 |        164 |          0 |         10 |        174 |
| ios\BayimSu\Images.xcassets\AppIcon.appiconset                                                       |          1 |        122 |          0 |          0 |        122 |
| ios\BayimSu\Images.xcassets\bayimsulogo.imageset                                                     |          1 |         21 |          0 |          0 |         21 |
| src                                                                                                  |        186 |     21,934 |      1,060 |      5,227 |     28,221 |
| src\components                                                                                       |         16 |        780 |         17 |         86 |        883 |
| src\constants                                                                                        |          2 |          8 |          0 |          2 |         10 |
| src\images                                                                                           |         16 |        924 |         38 |         30 |        992 |
| src\images\icomoon                                                                                   |         12 |        902 |         38 |         26 |        966 |
| src\images\icomoon\SVG                                                                               |          5 |         78 |          7 |         13 |         98 |
| src\images\icomoon\demo-files                                                                        |          1 |        146 |          0 |          2 |        148 |
| src\navigation                                                                                       |          1 |        283 |         18 |         37 |        338 |
